run_id,4593,4594,4595,4596,4597,4598,4599,4600,4601,4602,4603,4604,total
9643,7577,7988,7835,7932,8061,12434,12723,30383,31412,30088,13509,30515,200457
9644,7693,7905,7812,8023,7579,12033,12735,30323,30867,30787,13320,30176,199253
10835,7599,7520,7735,7483,7584,11939,11809,29712,30660,30070,12935,29953,194999
10839,7858,7595,7363,7844,7531,12422,12044,29715,30328,29760,12977,29723,195160
10842,7801,7799,7624,7726,7705,12344,11946,29523,29751,29901,13439,29371,194930
10983,7737,7754,7797,7887,8207,12455,12549,30411,30766,30650,13223,30613,200049
10984,6718,7598,8095,6636,6679,11741,11396,26902,27282,27100,11798,27080,179025
11068,7840,7591,7755,7885,7729,12796,12556,30121,31202,30355,13576,30447,199853
11089,7768,7855,8035,7894,7785,12370,12415,30640,30857,30370,13563,30072,199624
11099,7458,7367,7663,7410,7535,11588,11928,28812,29391,29388,12772,29211,190523
11109,7785,7491,7828,7737,8124,12453,12157,30193,30313,30493,13434,31066,199074
11111,7785,7743,7986,7696,8040,12267,12245,30383,29938,30353,13699,30737,198872
11112,7808,7733,7852,7694,7768,12236,12410,30647,30561,30589,13523,30361,199182
11113,7724,8000,7774,7724,7909,12671,12058,30050,30720,30824,13514,30493,199461
11123,7714,7668,8010,7869,7694,12300,12415,30687,30904,30949,13582,30705,200497
11125,7833,7881,7754,7698,7587,12509,12301,30302,30985,30640,13648,30170,199308
11131,7480,7594,7419,7588,7698,11974,12608,29756,30051,29731,12940,29863,194702
11136,7085,6965,6866,6962,6840,10807,11198,27231,27576,27251,11907,27302,177990
11138,6859,6726,6914,6785,6744,10909,11282,26967,27454,27240,11871,27152,176903
11141,8020,8003,8154,8109,7955,12624,13136,31091,31369,30715,13660,31471,204307
11185,6739,6578,6814,6717,6957,10779,11160,27003,27351,27048,11783,27151,176080
11198,6839,6641,6802,6683,6854,10800,11202,26953,27337,27076,11785,27087,176059
11234,6850,6664,6979,6742,6849,10819,11223,26958,27254,27049,11727,27155,176269
11242,7574,7646,7753,7514,7895,12555,12602,30251,31117,31188,13474,30317,199886
11243,7705,7713,7750,7698,8021,12471,12357,30726,31344,30607,13710,30727,200829
11280,6838,6735,6873,6685,6819,10783,11141,27262,27273,27038,11779,27108,176334
11343,6933,6670,6726,6723,6764,10902,11155,26965,27339,27080,11744,27145,176146
11383,7458,6869,7223,7314,6685,11538,11683,27818,27928,27450,11942,28248,182156
11388,7755,7986,7854,7722,7834,12412,12219,30484,30939,30495,13799,30370,199869
11392,7753,7983,7771,7627,7820,12412,12219,30418,30922,30451,13605,30311,199292
11403,7699,7580,7754,7840,7729,12796,12556,30082,31202,30355,13530,30447,199570
11478,7326,7178,7065,7380,7054,10925,11740,27899,27799,27692,12144,27830,182032
11481,6912,6729,6937,6856,6931,10901,11247,27149,27404,27315,11906,27393,177680
11482,7035,7016,7359,7122,7416,11205,11571,27841,27888,27524,12542,28258,182777
11490,7632,7611,7780,7646,7543,12314,12064,30373,30498,29805,13445,30320,197031
11495,7846,7690,7915,7777,7808,12356,12371,29956,30301,31122,13872,31167,200181
11496,7978,8034,8166,8147,7955,12624,13136,31091,31369,30715,13649,31471,204335
11516,7867,7952,8011,7807,7785,12368,12557,30166,31045,30429,13492,30319,199798
11526,6830,6685,6811,6815,6847,10973,11228,26897,27375,27155,11812,27323,176751
11527,7043,6823,6957,6962,6910,10949,11274,27154,27586,27229,11930,27294,178111
11528,7628,7634,8100,8041,7671,12099,11961,28531,28669,28834,13497,28764,191429
11540,7700,7714,7706,7713,7989,12412,12367,30694,31435,30546,13729,30786,200791
11549,6759,6641,6816,6779,6783,10844,11150,26958,27363,27152,11769,27122,176136
11554,7196,6978,7089,6973,6952,11036,11326,27417,27757,27595,12180,27530,180029
11555,6846,6893,6874,6833,7093,10934,11233,27266,27585,27251,11975,27429,178212
11556,7258,6972,7095,7266,7130,11049,11663,27469,28189,27903,12278,27842,182114
11558,7301,7128,7195,7158,7231,11158,11552,27832,28102,27742,12323,27835,182557
11566,7420,7618,7312,7610,7559,11889,12312,29934,30308,29926,13172,29274,194334
